,,,,,,EXPRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln University,,6:09 AM,6:39 AM,6:57 AM,7:10 AM,7:20 AM,7:25 AM,7:30 AM,7:40 AM,7:55 AM,8:10 AM,8:29 AM,9:03 AM,9:33 AM,10:03 AM,10:33 AM,11:03 AM,11:33 AM,12:03 PM,12:33 PM,1:03 PM,1:32 PM,2:00 PM,,2:27 PM,2:57 PM,3:12 PM,3:27 PM,3:42 PM,3:57 PM,4:12 PM,4:27 PM,4:57 PM,5:24 PM,5:54 PM,6:24 PM,6:54 PM,7:54 PM,8:54 PM,9:54 PM,10:54 PM
Prebbleton,,6:21 AM,6:51 AM,7:12 AM,7:25 AM,7:35 AM,7:40 AM,7:45 AM,7:55 AM,8:09 AM,8:23 AM,8:42 AM,9:15 AM,9:45 AM,10:15 AM,10:45 AM,11:15 AM,11:45 AM,12:15 PM,12:45 PM,1:15 PM,1:44 PM,2:12 PM,,2:40 PM,3:10 PM,3:25 PM,3:40 PM,3:55 PM,4:10 PM,4:25 PM,4:40 PM,5:10 PM,5:37 PM,6:06 PM,6:36 PM,7:06 PM,8:06 PM,9:06 PM,10:06 PM,11:06 PM
Blenheim Rd near Curletts Rd,,6:32 AM,7:02 AM,7:28 AM,7:41 AM,,7:58 AM,8:05 AM,8:15 AM,8:29 AM,8:39 AM,8:58 AM,9:28 AM,9:58 AM,10:28 AM,10:58 AM,11:28 AM,11:58 AM,12:28 PM,12:58 PM,1:28 PM,1:57 PM,2:25 PM,,2:55 PM,3:25 PM,3:40 PM,3:55 PM,4:10 PM,4:25 PM,4:40 PM,4:55 PM,5:25 PM,5:49 PM,6:18 PM,6:48 PM,7:18 PM,8:16 PM,9:16 PM,10:16 PM,11:16 PM
Westfield (temporary),,6:39 AM,7:11 AM,7:37 AM,7:50 AM,,8:07 AM,8:14 AM,8:24 AM,8:38 AM,8:48 AM,9:06 AM,9:36 AM,10:06 AM,10:36 AM,11:06 AM,11:36 AM,12:06 PM,12:36 PM,1:06 PM,1:36 PM,2:05 PM,2:35 PM,,3:05 PM,3:35 PM,3:50 PM,4:05 PM,4:20 PM,4:35 PM,4:50 PM,5:03 PM,5:33 PM,5:55 PM,6:24 PM,6:54 PM,7:24 PM,8:22 PM,9:22 PM,10:22 PM,11:22 PM
Hospital - Temporary,,6:44 AM,7:18 AM,7:44 AM,7:57 AM,,8:14 AM,8:21 AM,8:31 AM,8:45 AM,8:55 AM,9:13 AM,9:44 AM,10:14 AM,10:44 AM,11:14 AM,11:44 AM,12:14 PM,12:44 PM,1:14 PM,1:44 PM,2:14 PM,2:44 PM,,3:14 PM,3:44 PM,3:59 PM,4:14 PM,4:29 PM,4:44 PM,4:59 PM,5:11 PM,5:41 PM,6:00 PM,6:29 PM,6:59 PM,7:29 PM,8:27 PM,9:27 PM,10:27 PM,11:27 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital - Temporary,,,,,,8:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interchange (Platform A),6:30 AM,6:47 AM,7:21 AM,7:47 AM,8:00 AM,8:05 AM,8:17 AM,8:24 AM,8:34 AM,8:48 AM,8:58 AM,9:16 AM,9:47 AM,10:17 AM,10:47 AM,11:17 AM,11:47 AM,12:17 PM,12:47 PM,1:17 PM,1:47 PM,2:17 PM,2:47 PM,3:02 PM,3:17 PM,3:47 PM,4:02 PM,4:17 PM,4:32 PM,4:47 PM,5:02 PM,5:14 PM,5:44 PM,6:03 PM,6:32 PM,7:02 PM,7:32 PM,8:30 PM,9:30 PM,10:30 PM,
Tuam St near Fitzgerald Ave,6:37 AM,6:54 AM,7:30 AM,7:56 AM,8:09 AM,,8:26 AM,,,8:57 AM,,9:24 AM,9:55 AM,10:25 AM,10:55 AM,11:25 AM,11:55 AM,12:25 PM,12:55 PM,1:25 PM,1:55 PM,2:26 PM,2:56 PM,3:11 PM,3:26 PM,3:56 PM,4:11 PM,4:26 PM,4:41 PM,4:56 PM,5:11 PM,5:22 PM,5:52 PM,6:10 PM,6:39 PM,7:09 PM,7:39 PM,8:37 PM,9:37 PM,10:37 PM,
Ara Institute,,,,,,8:10 AM,,8:32 AM,8:42 AM,,9:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastgate Mall (Buckleys Rd),6:42 AM,7:00 AM,7:36 AM,8:02 AM,8:15 AM,,8:32 AM,,,9:03 AM,,9:30 AM,10:01 AM,10:31 AM,11:01 AM,11:31 AM,12:01 PM,12:31 PM,1:01 PM,1:31 PM,2:01 PM,2:33 PM,3:03 PM,3:18 PM,3:33 PM,4:03 PM,4:18 PM,4:33 PM,4:48 PM,5:03 PM,5:18 PM,5:28 PM,5:58 PM,6:15 PM,6:44 PM,7:14 PM,7:44 PM,8:42 PM,9:42 PM,10:42 PM,
Wainoni Rd near Breezes Rd,6:48 AM,7:07 AM,7:43 AM,8:09 AM,8:22 AM,,8:39 AM,,,9:10 AM,,9:37 AM,10:08 AM,10:38 AM,11:08 AM,11:38 AM,12:08 PM,12:38 PM,1:08 PM,1:38 PM,2:08 PM,2:40 PM,3:10 PM,3:25 PM,3:40 PM,4:10 PM,4:25 PM,4:40 PM,4:55 PM,5:10 PM,5:25 PM,5:35 PM,6:05 PM,6:21 PM,6:50 PM,7:20 PM,7:50 PM,8:48 PM,9:48 PM,10:48 PM,
Beach Rd near Bower Ave,6:55 AM,7:15 AM,7:51 AM,8:17 AM,8:30 AM,,8:47 AM,,,9:18 AM,,9:45 AM,10:16 AM,10:46 AM,11:16 AM,11:46 AM,12:16 PM,12:46 PM,1:16 PM,1:46 PM,2:16 PM,2:49 PM,3:19 PM,3:34 PM,3:49 PM,4:19 PM,4:34 PM,4:49 PM,5:04 PM,5:19 PM,5:34 PM,5:43 PM,6:13 PM,6:28 PM,6:57 PM,7:27 PM,7:57 PM,8:55 PM,9:55 PM,10:55 PM,
Queenspark Dr near Inwoods Rd,7:09 AM,7:29 AM,8:05 AM,8:31 AM,8:44 AM,,9:01 AM,,,9:32 AM,,9:59 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:03 PM,3:33 PM,3:48 PM,4:03 PM,4:33 PM,4:48 PM,5:03 PM,5:18 PM,5:33 PM,5:48 PM,5:57 PM,6:27 PM,6:42 PM,7:11 PM,7:41 PM,8:11 PM,9:09 PM,10:09 PM,11:09 PM,
